,Unnamed: 0,log10Difference,log10AUCDifference,fractionTIP,patientID,VLcompartment
87,87,0.5878554431215353,0.4811377152469829,0.3,7,LRT
88,88,2.9211201278561525,2.8103782580597816,0.3,8,URT
89,89,1.6828229628765996,1.6960010778869412,0.3,8,LRT
90,90,0.680799220466973,0.5690673161672732,0.4,0,URT
91,91,0.7332137852923015,0.6095610894479799,0.4,0,LRT
92,92,0.7053525466256271,0.6243076430232309,0.4,1,URT
93,93,0.7221061471599199,0.4977647244796231,0.4,1,LRT
94,94,0.5100433261186605,0.5023705594176979,0.4,2,URT
95,95,0.6893249432666595,0.5575729611733129,0.4,2,LRT
96,96,0.8941832981408586,0.6753668276175508,0.4,3,URT
97,97,0.6587153908110368,0.5922584383324274,0.4,3,LRT
98,98,0.7413026608992803,0.6170879789675068,0.4,4,URT
99,99,0.6374273748224288,0.4960356306400229,0.4,4,LRT
100,100,0.6420530403186255,0.5678604493966395,0.4,5,URT
101,101,0.9476209354938838,0.8501979519884371,0.4,5,LRT
102,102,0.5398662574042009,0.5316206041420815,0.4,6,URT
103,103,0.7599113918063543,0.6066656736155567,0.4,6,LRT
104,104,1.037514895612646,0.7319666557821822,0.4,7,URT
105,105,0.5970333726429766,0.5774487262730332,0.4,7,LRT
106,106,2.9211201278561525,3.234374816819857,0.4,8,URT
107,107,3.691302286159948,3.656459312922333,0.4,8,LRT
108,108,0.8139936503725762,0.7479444440765306,0.5,0,URT
109,109,0.8560917279529301,0.7515272208327799,0.5,0,LRT
110,110,1.0226075186151036,0.8257606239736129,0.5,1,URT
111,111,0.8734236338824903,0.8305960569799655,0.5,1,LRT
112,112,0.6798147424359424,0.6553280567736728,0.5,2,URT
113,113,0.8761533517527189,0.7298000680125929,0.5,2,LRT
114,114,1.2529688619926187,0.932021369166418,0.5,3,URT
115,115,0.9162009488299584,0.8022335946867765,0.5,3,LRT
116,116,1.0183135871063875,0.8134445410549889,0.5,4,URT
117,117,1.0852583154860442,1.2263591891216672,0.5,4,LRT
118,118,0.7855008920675237,0.7360741269930244,0.5,5,URT
119,119,3.0836365247866833,2.803368632601912,0.5,5,LRT
120,120,0.7123112501078346,0.6921440866411848,0.5,6,URT
121,121,0.9682536864372748,0.8001661595204429,0.5,6,LRT
122,122,1.5728065549659818,1.3406198125222035,0.5,7,URT
123,123,0.9285145763552948,0.7591832843625932,0.5,7,LRT
