,Unnamed: 0,log10Difference,log10AUCDifference,fractionTIP,patientID,VLcompartment
35,35,0.16734105933628918,0.1767210057523032,0.05,8,LRT
36,36,0.11839594253487107,0.11645270206761538,0.1,0,URT
37,37,0.18027145829334845,0.15054450073034076,0.1,0,LRT
38,38,0.10026036879761246,0.1456897901509624,0.1,1,URT
39,39,0.1536695031406463,0.1386972224825236,0.1,1,LRT
40,40,0.17671900662092102,0.13721672497891468,0.1,2,URT
41,41,0.2640115387691431,0.16731968362143054,0.1,2,LRT
42,42,0.119236035956634,0.1545731794796552,0.1,3,URT
43,43,0.09991022887046608,0.14288241172819216,0.1,3,LRT
44,44,0.22076586525991004,0.14606711353629276,0.1,4,URT
45,45,0.19616617752277588,0.15775910960724726,0.1,4,LRT
46,46,0.15972672479204242,0.12567411445400278,0.1,5,URT
47,47,0.17462398407814114,0.16322311861975616,0.1,5,LRT
48,48,0.12986031364435568,0.12561952230173734,0.1,6,URT
49,49,0.1545816686097261,0.1394832189652293,0.1,6,LRT
50,50,0.1647546951641532,0.16026863850604744,0.1,7,URT
51,51,0.03316438401747401,0.07373994989687471,0.1,7,LRT
52,52,1.1890045690978432,1.1416974115672658,0.1,8,URT
53,53,0.4760995939670982,0.4700357397900152,0.1,8,LRT
54,54,0.2500463194265752,0.23587066574329985,0.2,0,URT
55,55,0.3758709473192363,0.29941401860894423,0.2,0,LRT
56,56,0.2758328104443315,0.2939460438864101,0.2,1,URT
57,57,0.34406237611334944,0.2518325830220416,0.2,1,LRT
58,58,0.38560649413793424,0.2886321281384383,0.2,2,URT
59,59,0.2579871221692853,0.27570910484357825,0.2,2,LRT
60,60,0.3191576269966596,0.31167039807946306,0.2,3,URT
61,61,0.2959896495999699,0.28796240465162537,0.2,3,LRT
62,62,0.33153371179237023,0.2926373553483161,0.2,4,URT
63,63,0.4150695180271713,0.27247756315925464,0.2,4,LRT
64,64,0.3815286948871046,0.2657063104256512,0.2,5,URT
65,65,0.4429955534576555,0.3154202871559057,0.2,5,LRT
66,66,0.25116609669284795,0.2587011611862575,0.2,6,URT
67,67,0.33335441001131816,0.2837226034744216,0.2,6,LRT
68,68,0.3939914802409756,0.3259359079834603,0.2,7,URT
69,69,0.14465574139825765,0.15899837253967866,0.2,7,LRT
70,70,1.3508018133585398,2.210467566591414,0.2,8,URT
71,71,1.8316068265002112,1.7514594946594828,0.2,8,LRT
72,72,0.4162186436229503,0.3682829070495925,0.3,0,URT
73,73,0.5463901169698221,0.4500812687324052,0.3,0,LRT
74,74,0.4702043597139376,0.450838896837265,0.3,1,URT
75,75,0.5874242206363736,0.289253667648306,0.3,1,LRT
76,76,0.4870160246708881,0.454687368523297,0.3,2,URT
77,77,0.5340261993770881,0.4250586526486533,0.3,2,LRT
78,78,0.575040085490131,0.4813862438485978,0.3,3,URT
79,79,0.4528046405340174,0.4388970357656632,0.3,3,LRT
80,80,0.5187000467694336,0.4470374621741184,0.3,4,URT
81,81,0.5241234544181053,0.297946655574151,0.3,4,LRT
82,82,0.4654289076150286,0.4178556537989788,0.3,5,URT
83,83,0.5547514739304891,0.44869570845706974,0.3,5,LRT
84,84,0.37904530047471496,0.4036845591052192,0.3,6,URT
85,85,0.5466725605788971,0.4379557870739879,0.3,6,LRT
86,86,0.6491714956799086,0.5404317868298483,0.3,7,URT
87,87,0.5508836282291885,0.36831583300173865,0.3,7,LRT
88,88,1.3508018133585398,2.8441607968057663,0.3,8,URT
89,89,3.6847209022993295,3.604836324631183,0.3,8,LRT
90,90,0.6643041076322547,0.5283034288203572,0.4,0,URT
91,91,0.8028210780386935,0.5888364014437268,0.4,0,LRT
92,92,0.7190538529452253,0.622363615971878,0.4,1,URT
93,93,0.6409411070438988,0.6316507533035356,0.4,1,LRT
94,94,0.5927714223323033,0.623124731418657,0.4,2,URT
95,95,0.6165890856623042,0.5751460664740993,0.4,2,LRT
96,96,0.878719061577006,0.7001013812719377,0.4,3,URT
97,97,0.6436397749624518,0.6391122743869939,0.4,3,LRT
98,98,0.7679196437656906,0.6173124319030103,0.4,4,URT
99,99,0.6013516351451313,0.5139274241025573,0.4,4,LRT
100,100,0.5890699604850358,0.5657410706750774,0.4,5,URT
101,101,1.1006347563263112,0.9894364746908728,0.4,5,LRT
102,102,0.5167456594827629,0.5636805557178457,0.4,6,URT
103,103,0.7650231827401761,0.6083930297165603,0.4,6,LRT
104,104,1.285072476997701,1.3659138136011144,0.4,7,URT
105,105,0.489547989637197,0.5055045946315957,0.4,7,LRT
106,106,1.3508018133585398,2.9281144508922927,0.4,8,URT
